// RADIOMAP.DAT
// Radio frequency map -- flat text file, controls frequencies used to talk to flights and other agencies.
// last updated: 28th of February 2021 by Kolbe
// 
// "//" introduces a line treated as a comment
// "," delimiter
// 
// Format:  <agency_name>, <UHF1_frequency>, <VHF_frequency>, <UHF2_frequency>
// 
// <agency_name>: 		a string that identifies the flight callsign or equivalent
// <UHF1_frequency>:	This is the tactical frequency in case a flight with that callsign is the primary flight of a package.
// <VHF_frequency>:		This is the unique VHF frequency for Intra Flight comms.
// <UHF2_frequency>:	This is a backup / emergency UHF frequency in case you lose comms on VHF.
// 
// Frequencies are integers that represent radio frequencies in (kHz * 1000).
// "NONE" is used to indicate no frequency assigned to an agency in that band.
// 
// Note: frequencies are range checked so make sure to use legitimate values for
// the frequency band in question.
// 
// ========================================================================================
// FALCON BMS RADIO SPECTRUM MANAGEMENT:
// 
// VHF: Primary Aircraft (F-16s only):
// 138025 - 139975 (198 frequencies)
// 
// VHF: Secondary Aircraft (Blue Team):
// 30.025 - 37.450 and 136.025 - 143.975 (405 frequencies)
// 
// VHF: Secondary Aircraft (Red Team):
// 47.400 - 60.975 (405 frequencies)
// 
// VHF: Tertiary Fighter Aircraft (Blue & Red Team):
// 47.400 - 60.975 (126 frequencies)
// 
// VHF: Tertiary Bomber Aircraft (Blue & Red Team):
// 37.475 - 47.375 (81 frequencies)
// 
// VHF: Quarternary Aircraft (Blue & Red Team)
// 37.475 - 47.375 (216 frequencies)
// 
// VHF: Non Human flyable (Helicopters, Blue & Red Team)
// 37.475 - 47.375 (90 frequencies)
// 
// VHF: Backup frequencies (39, not used in this file):
// 30000, 31000, 32000, 33000, ... 58000, 59000, 60000, 61.000 and
// 138000, 139000, 140000, 141000, 142000, 143000, 144000
// 
// VHF: ATC Operations:
// conducted in the 118000 - 136000 range. Don't use them here.
// 
// UHF: checked against station+ils,dat (Nevada, KTO, ITO, TvT, Balkans, CET)
// 225000 - 399975 (3042 frequencies plus GUARD, ADVISORY, COMMON_TWR, COMMON_APPR)
Banshee1, 287275, 138550, 328050
Banshee2, 358725, 140625, 304225
Banshee3, 228975, 143950, 275025
Banshee4, 298025, 138425, 235650
Banshee5, 314975, 139500, 227025
Banshee6, 232175, 142475, 262350
Banshee7, 365675, 141050, 280975
Banshee8, 294075, 142375, 313175
Banshee9, 351300, 140200, 244500
Barrel1, 321275, 50325, 327300
Barrel2, 359650, 54225, 305750
Barrel3, 281275, 53550, 347675
Barrel4, 295550, 54425, 302000
Barrel5, 334875, 49125, 245275
Barrel6, 325175, 49475, 320250
Barrel7, 317000, 60950, 339175
Barrel8, 259075, 55350, 296400
Barrel9, 262225, 55200, 249325
Bat1, 339775, 57650, 331700
Bat2, 337675, 47425, 339725
Bat3, 238150, 53025, 233650
Bat4, 347250, 55675, 311250
Bat5, 341700, 58775, 226750
Bat6, 235150, 48575, 346600
Bat7, 230575, 56800, 291375
Bat8, 333325, 54175, 295475
Bat9, 259900, 55550, 339800
Beast1, 388275, 141800, 254200
Beast2, 383000, 141125, 300550
Beast3, 399625, 142800, 335625
Beast4, 350375, 140100, 246875
Beast5, 394150, 140900, 337350
Beast6, 323325, 140975, 226925
Beast7, 370225, 142875, 246675
Beast8, 242725, 143050, 236550
Beast9, 289450, 139525, 261325
Bison1, 359275, 48525, 246350
Bison2, 391150, 58550, 301875
Bison3, 297875, 50975, 243425
Bison4, 341675, 55800, 287200
Bison5, 336975, 47575, 267750
Bison6, 238925, 60225, 319775
Bison7, 301775, 54350, 310325
Bison8, 265150, 57775, 299250
Bison9, 286550, 56450, 320400
Blackhawk1, 396675, 45625, 296225
Blackhawk2, 381750, 39350, 226050
Blackhawk3, 366625, 38700, 304650
Blackhawk4, 283500, 40950, 257400
Blackhawk5, 250925, 45775, 285800
Blackhawk6, 246850, 44100, 235375
Blackhawk7, 368900, 45650, 331275
Blackhawk8, 368850, 38275, 236300
Blackhawk9, 304150, 40250, 345825
Blackjack1, 319550, 41100, 269050
Blackjack2, 357975, 40725, 277375
Blackjack3, 229725, 38425, 264325
Blackjack4, 267650, 47250, 264850
Blackjack5, 357575, 46150, 316100
Blackjack6, 274200, 47325, 338875
Blackjack7, 319600, 41625, 277025
Blackjack8, 326050, 43925, 297575
Blackjack9, 321250, 41950, 303975
Blade1, 335375, 37475, 317975
Blade2, 297850, 45975, 314575
Blade3, 248500, 44250, 251675
Blade4, 338950, 46850, 244150
Blade5, 295925, 38550, 262525
Blade6, 273725, 43675, 308025
Blade7, 263800, 39875, 235900
Blade8, 333650, 44450, 332925
Blade9, 297725, 42075, 327100
Blazer1, 346350, 41475, 257050
Blazer2, 354350, 39275, 260125
Blazer3, 282925, 44625, 238400
Blazer4, 358950, 37525, 247850
Blazer5, 399975, 37500, 239025
Blazer6, 383750, 46875, 345500
Blazer7, 276625, 42825, 342950
Blazer8, 386025, 43750, 239325
Blazer9, 264825, 45400, 327950
Blood1, 307625, 59950, 314350
Blood2, 325100, 58700, 346150
Blood3, 393975, 58450, 316925
Blood4, 268250, 49100, 294850
Blood5, 360575, 50850, 288275
Blood6, 398050, 59625, 264175
Blood7, 260975, 54400, 297700
Blood8, 239750, 47625, 339450
Blood9, 309125, 53050, 251525
Bluebell1, 256425, 53375, 293125
Bluebell2, 308675, 60575, 321175
Bluebell3, 348075, 60550, 254650
Bluebell4, 259600, 54975, 257175
Bluebell5, 344050, 59500, 239475
Bluebell6, 365750, 53100, 328025
Bluebell7, 269275, 60175, 326550
Bluebell8, 378325, 59375, 279475
Bluebell9, 348200, 48175, 289825
Bone1, 255175, 45925, 266200
Bone2, 320850, 38950, 273875
Bone3, 376750, 46950, 291425
Bone4, 237525, 41550, 294600
Bone5, 345100, 37925, 253600
Bone6, 248375, 41650, 346125
Bone7, 292325, 42525, 245025
Bone8, 354550, 40825, 253975
Bone9, 388450, 39850, 257525
Boxer1, 398975, 37950, 311900
Boxer2, 361050, 42700, 288100
Boxer3, 329200, 43250, 231825
Boxer4, 307550, 43850, 288625
Boxer5, 353450, 44725, 324400
Boxer6, 272325, 41700, 341975
Boxer7, 360800, 46550, 229500
Boxer8, 240875, 40275, 237975
Boxer9, 289675, 40975, 279000
Bronco1, 323200, 42150, 322300
Bronco2, 292775, 44550, 267025
Bronco3, 239050, 44025, 264500
Bronco4, 282775, 42750, 256850
Bronco5, 340725, 39650, 243900
Bronco6, 228425, 44800, 260825
Bronco7, 314425, 38025, 290350
Bronco8, 399150, 38575, 230100
Bronco9, 274325, 45900, 343075
Buckskin1, 299600, 52250, 316325
Buckskin2, 366050, 58750, 296725
Buckskin3, 348450, 57850, 291200
Buckskin4, 373125, 48750, 290875
Buckskin5, 342975, 50275, 238650
Buckskin6, 301125, 55750, 281250
Buckskin7, 322050, 50150, 240250
Buckskin8, 262200, 53450, 236450
Buckskin9, 376025, 59825, 340350
Buff1, 390325, 40775, 342750
Buff2, 288075, 45525, 253200
Buff3, 333550, 46750, 313250
Buff4, 353950, 46425, 301625
Buff5, 387575, 44750, 329750
Buff6, 377925, 43650, 297525
Buff7, 351500, 44950, 287875
Buff8, 383325, 44125, 266025
Buff9, 348650, 39575, 237175
Bug1, 294225, 139050, 297925
Bug2, 338675, 34100, 338825
Bug3, 267225, 34575, 325825
Bug4, 359700, 139725, 263550
Bug5, 351375, 32750, 273850
Bug6, 238325, 137550, 286825
Bug7, 279750, 35300, 306950
Bug8, 386625, 30425, 227700
Bug9, 368925, 33225, 311875
Bull1, 285625, 51600, 332325
Bull2, 350850, 47800, 322775
Bull3, 385375, 47600, 243675
Bull4, 235250, 58050, 326575
Bull5, 317775, 51200, 233525
Bull6, 320975, 50425, 347275
Bull7, 242300, 49250, 304250
Bull8, 394425, 53500, 287750
Bull9, 254000, 47925, 290625
Bulldog1, 269925, 142625, 303075
Bulldog2, 229875, 143925, 329350
Bulldog3, 376050, 143075, 282300
Bulldog4, 278325, 142975, 369575
Bulldog5, 338900, 138825, 275600
Bulldog6, 258075, 141975, 320625
Bulldog7, 231250, 139025, 258500
Bulldog8, 371100, 141825, 233750
Bulldog9, 354400, 138675, 257675
Buzzard1, 361825, 56500, 254500
Buzzard2, 266250, 48925, 334350
Buzzard3, 280625, 54100, 326925
Buzzard4, 268125, 54050, 347050
Buzzard5, 256375, 55225, 319825
Buzzard6, 386925, 57450, 300625
Buzzard7, 225650, 58900, 346250
Buzzard8, 249225, 59650, 275675
Buzzard9, 346175, 48725, 255025
Buzzsaw1, 360675, 52975, 235275
Buzzsaw2, 375900, 49150, 250725
Buzzsaw3, 327250, 50675, 230125
Buzzsaw4, 237000, 58100, 278250
Buzzsaw5, 334250, 51925, 316650
Buzzsaw6, 301150, 53425, 296550
Buzzsaw7, 382850, 48125, 294625
Buzzsaw8, 261800, 56600, 273450
Buzzsaw9, 321750, 53325, 294975
Caddy1, 380950, 32800, 308200
Caddy2, 269300, 141875, 321500
Caddy3, 274250, 30275, 255475
Caddy4, 276400, 33325, 254050
Caddy5, 242075, 137850, 270925
Caddy6, 394350, 33600, 329675
Caddy7, 269725, 32100, 343125
Caddy8, 342175, 33775, 297250
Caddy9, 396375, 30300, 313075
Cajun1, 297275, 139775, 339075
Cajun2, 264925, 141500, 309500
Cajun3, 333400, 140700, 307175
Cajun4, 340450, 142600, 280650
Cajun5, 371225, 138650, 313400
Cajun6, 375400, 141625, 333675
Cajun7, 389175, 142675, 275975
Cajun8, 298375, 140750, 283875
Cajun9, 257650, 139475, 230050
Camel1, 294725, 47275, 316575
Camel2, 242375, 46450, 344600
Camel3, 268075, 38825, 243450
Camel4, 381350, 40575, 261625
Camel5, 269450, 46400, 284100
Camel6, 237825, 46200, 340925
Camel7, 388600, 42625, 230275
Camel8, 314900, 39825, 312700
Camel9, 370650, 45600, 255775
Canteen1, 348625, 58800, 338250
Canteen2, 276975, 54575, 292150
Canteen3, 310025, 52850, 317700
Canteen4, 394600, 48875, 282325
Canteen5, 309850, 60100, 329075
Canteen6, 371450, 49375, 324275
Canteen7, 230450, 56250, 315125
Canteen8, 272525, 57225, 243150
Canteen9, 352500, 48550, 347025
Chalice1, 332450, 39775, 306200
Chalice2, 326375, 44525, 344975
Chalice3, 287025, 46825, 334150
Chalice4, 374425, 44500, 237475
Chalice5, 298175, 41175, 314500
Chalice6, 390350, 47300, 330225
Chalice7, 281100, 42250, 230775
Chalice8, 356725, 40875, 305725
Chalice9, 227400, 41975, 322725
Charger1, 242500, 58650, 302100
Charger2, 288850, 52050, 230250
Charger3, 322175, 59275, 250700
Charger4, 318275, 51375, 323175
Charger5, 373625, 50250, 303600
Charger6, 361250, 54500, 324675
Charger7, 337875, 60700, 285375
Charger8, 261975, 53775, 254400
Charger9, 232725, 52200, 306500
Checker1, 376475, 52500, 265275
Checker2, 304550, 50500, 292925
Checker3, 366975, 56150, 264200
Checker4, 276025, 48975, 342925
Checker5, 361075, 50475, 336275
Checker6, 261875, 54750, 270725
Checker7, 300725, 56025, 276075
Checker8, 306375, 59975, 310900
Checker9, 326150, 56200, 325875
Cheetah1, 378975, 38475, 289125
Cheetah2, 349300, 37700, 236275
Cheetah3, 300900, 37625, 259375
Cheetah4, 346725, 40350, 294950
Cheetah5, 371300, 46700, 232325
Cheetah6, 346875, 42175, 236825
Cheetah7, 382925, 44775, 312725
Cheetah8, 358425, 41800, 346775
Cheetah9, 322200, 45675, 330250
Chowder1, 245975, 48825, 235325
Chowder2, 232975, 49525, 303325
Chowder3, 322550, 59475, 233975
Chowder4, 378100, 51450, 282825
Chowder5, 311150, 59250, 299875
Chowder6, 291350, 52550, 270775
Chowder7, 240025, 49175, 264375
Chowder8, 278150, 52225, 288500
Chowder9, 392300, 51075, 266050
Claw1, 318000, 55025, 286525
Claw2, 367725, 58975, 279125
Claw3, 263275, 55600, 243400
Claw4, 362950, 48625, 234775
Claw5, 370625, 57700, 293550
Claw6, 381425, 58725, 293825
Claw7, 299375, 53175, 284525
Claw8, 239150, 59600, 310050
Claw9, 364450, 55850, 313975
Cobra1, 300675, 141900, 225900
Cobra2, 241125, 139675, 343725
Cobra3, 324900, 142950, 294150
Cobra4, 277975, 140050, 330775
Cobra5, 252775, 139800, 344650
Cobra6, 283225, 141200, 342825
Cobra7, 334775, 139850, 237300
Cobra8, 283200, 140525, 296075
Cobra9, 374250, 138400, 337700
Copper1, 275175, 43775, 260675
Copper2, 356850, 46275, 324650
Copper3, 289650, 37825, 318625
Copper4, 226950, 45875, 246650
Copper5, 231850, 44975, 263000
Copper6, 249275, 42125, 343775
Copper7, 348350, 45550, 286875
Copper8, 286275, 38050, 289850
Copper9, 318950, 37725, 332275
Cougar1, 261950, 57825, 287925
Cougar2, 313025, 49925, 285925
Cougar3, 373275, 52675, 289325
Cougar4, 372150, 60475, 274925
Cougar5, 312425, 57250, 290825
Cougar6, 319575, 48950, 266150
Cougar7, 397875, 55775, 276950
Cougar8, 396325, 60650, 318425
Cougar9, 321600, 52425, 326775
Cowboy1, 365025, 54525, 279250
Cowboy2, 281850, 55275, 270950
Cowboy3, 280475, 59575, 314650
Cowboy4, 256350, 59075, 336875
Cowboy5, 316450, 48425, 346075
Cowboy6, 258300, 54300, 326950
Cowboy7, 262675, 58300, 292425
Cowboy8, 390200, 54625, 231550
Cowboy9, 313925, 47875, 310825
Crimson1, 243925, 49775, 308750
Crimson2, 338000, 53200, 259050
Crimson3, 306825, 51100, 301975
Crimson4, 296175, 60275, 270275
Crimson5, 353000, 60075, 282875
Crimson6, 394000, 60025, 287075
Crimson7, 279625, 51150, 262950
Crimson8, 279825, 60450, 304825
Crimson9, 346425, 51700, 254750
Cyborg1, 302225, 142075, 322650
Cyborg2, 289250, 143450, 293650
Cyborg3, 316775, 140450, 257375
Cyborg4, 333525, 143575, 287800
Cyborg5, 377875, 138575, 230700
Cyborg6, 384875, 143750, 254725
Cyborg7, 301750, 141400, 263125
Cyborg8, 243725, 141350, 249375
Cyborg9, 312175, 140575, 322450
Dart1, 378850, 30650, 229750
Dart2, 342625, 37400, 269875
Dart3, 350650, 141725, 279875
Dart4, 354625, 37325, 275875
Dart5, 238775, 32300, 253050
Dart6, 387550, 36150, 319225
Dart7, 334450, 36400, 347625
Dart8, 319400, 35325, 284575
Dart9, 310800, 30750, 338725
Devil1, 225725, 33525, 246450
Devil2, 379375, 136150, 235400
Devil3, 291300, 136450, 229200
Devil4, 296300, 136850, 286100
Devil5, 314750, 33175, 253825
Devil6, 318750, 30525, 270700
Devil7, 300450, 34625, 263625
Devil8, 269950, 141325, 304675
Devil9, 345850, 31275, 254125
Diamond1, 326225, 31200, 313475
Diamond2, 266425, 36850, 318250
Diamond3, 286725, 143200, 230625
Diamond4, 348850, 30325, 329925
Diamond5, 345700, 37250, 307025
Diamond6, 364975, 36050, 265525
Diamond7, 272975, 137650, 270400
Diamond8, 261250, 137750, 268750
Diamond9, 394900, 30875, 254475
Dipper1, 287950, 57325, 322350
Dipper2, 269975, 52800, 336375
Dipper3, 363625, 60775, 320450
Dipper4, 225375, 56550, 317550
Dipper5, 300150, 49650, 324700
Dipper6, 351075, 48150, 321100
Dipper7, 386425, 57725, 303725
Dipper8, 306450, 55975, 320925
Dipper9, 328525, 59800, 335675
Dog1, 266475, 41725, 250400
Dog2, 276175, 39325, 343400
Dog3, 225875, 47125, 285550
Dog4, 258375, 40925, 256725
Dog5, 236525, 44700, 318975
Dog6, 335950, 42325, 330475
Dog7, 306750, 44225, 322400
Dog8, 341725, 43375, 305200
Dog9, 325200, 40600, 345875
Dolphin1, 289975, 48600, 265250
Dolphin2, 276275, 49025, 278300
Dolphin3, 333025, 56225, 266975
Dolphin4, 302650, 47750, 325600
Dolphin5, 379200, 48450, 252675
Dolphin6, 306725, 47525, 318850
Dolphin7, 226325, 53900, 261450
Dolphin8, 303025, 53925, 260875
Dolphin9, 386225, 60800, 328675
Doom1, 275200, 41500, 275075
Doom2, 297825, 41525, 299850
Doom3, 350625, 39750, 327150
Doom4, 399450, 41775, 275550
Doom5, 342550, 45850, 332025
Doom6, 334750, 46650, 284725
Doom7, 311525, 38775, 263600
Doom8, 391100, 41300, 277900
Doom9, 295350, 43025, 272175
Dragnet1, 238975, 44475, 340775
Dragnet2, 339925, 40625, 285850
Dragnet3, 357150, 37775, 275150
Dragnet4, 271550, 39200, 304475
Dragnet5, 342275, 38100, 316350
Dragnet6, 370450, 43200, 305425
Dragnet7, 261825, 40700, 255100
Dragnet8, 247550, 42375, 287775
Dragnet9, 270175, 41025, 238250
Dragon1, 248250, 38400, 228150
Dragon2, 384650, 46500, 320650
Dragon3, 283275, 39125, 228750
Dragon4, 326275, 42950, 258775
Dragon5, 346450, 45825, 309300
Dragon6, 305525, 39800, 232550
Dragon7, 359425, 43475, 345475
Dragon8, 309725, 40075, 319450
Dragon9, 268375, 46600, 231575
Eagle1, 320125, 31475, 313625
Eagle2, 382425, 136925, 318225
Eagle3, 254450, 137250, 275750
Eagle4, 384700, 32425, 259775
Eagle5, 229775, 137675, 242775
Eagle6, 351025, 138350, 289800
Eagle7, 329450, 136975, 300950
Eagle8, 256050, 137225, 298400
Eagle9, 330625, 37375, 302300
Elvis1, 231150, 41750, 236725
Elvis2, 276500, 47175, 266550
Elvis3, 251225, 42225, 336725
Elvis4, 284200, 46525, 249975
Elvis5, 234825, 42925, 318400
Elvis6, 305325, 40100, 231025
Elvis7, 270475, 38350, 299925
Elvis8, 328300, 43725, 311975
Elvis9, 274775, 39600, 329475
Eyeball1, 358125, 55300, 271575
Eyeball2, 318600, 60600, 323700
Eyeball3, 301925, 53675, 259550
Eyeball4, 307875, 51050, 304050
Eyeball5, 246325, 50300, 314050
Eyeball6, 228775, 59425, 247325
Eyeball7, 386525, 60400, 334200
Eyeball8, 391050, 58425, 317850
Eyeball9, 360750, 49275, 316375
Falcon1, 358700, 140850, 235950
Falcon2, 243575, 141275, 280575
Falcon3, 344700, 142125, 287350
Falcon4, 233925, 141525, 255275
Falcon5, 392425, 138250, 327725
Falcon6, 328625, 140800, 234000
Falcon7, 335175, 141475, 332750
Falcon8, 299775, 143350, 296625
Falcon9, 393300, 140400, 307425
Fenwick1, 305675, 57300, 284250
Fenwick2, 388325, 51525, 344275
Fenwick3, 250975, 52175, 272575
Fenwick4, 385000, 47475, 297800
Fenwick5, 337300, 53125, 250550
Fenwick6, 304900, 54950, 278225
Fenwick7, 383925, 59225, 343525
Fenwick8, 313875, 56725, 247000
Fenwick9, 379000, 55475, 337575
Fist1, 292450, 143400, 305625
Fist2, 386600, 32325, 334075
Fist3, 274900, 32650, 248325
Fist4, 331325, 143650, 291475
Fist5, 274550, 30375, 274125
Fist6, 281025, 136700, 328875
Fist7, 238875, 31450, 306575
Fist8, 227375, 31625, 260475
Fist9, 250475, 34175, 261100
Fury1, 271825, 40325, 335250
Fury2, 366775, 38850, 315200
Fury3, 392000, 41425, 343050
Fury4, 387900, 43875, 312825
Fury5, 370000, 41125, 348025
Fury6, 280775, 46625, 288225
Fury7, 329800, 43400, 234075
Fury8, 249875, 45075, 284900
Fury9, 309050, 37900, 292350
Gamble1, 390925, 141950, 274625
Gamble2, 227650, 139600, 332575
Gamble3, 258250, 140500, 299025
Gamble4, 306775, 140550, 237875
Gamble5, 361525, 143125, 332775
Gamble6, 348500, 138975, 294325
Gamble7, 328225, 143375, 277175
Gamble8, 296425, 143475, 230075
Gamble9, 298450, 138500, 286125
Garbo1, 334825, 60825, 291875
Garbo2, 345900, 53650, 285175
Garbo3, 366225, 56425, 277675
Garbo4, 388225, 59550, 225950
Garbo5, 314775, 54025, 233275
Garbo6, 343025, 53875, 330825
Garbo7, 259525, 52325, 340250
Garbo8, 277425, 51625, 323375
Garbo9, 395650, 56650, 267375
Gator1, 340850, 137425, 319650
Gator2, 291125, 36325, 317150
Gator3, 235575, 34725, 227425
Gator4, 378475, 36025, 320050
Gator5, 271725, 30025, 315275
Gator6, 291775, 138725, 331625
Gator7, 312275, 36750, 342650
Gator8, 309375, 32250, 261550
Gator9, 288575, 37200, 343100
Gauntlet1, 357950, 54200, 311725
Gauntlet2, 319950, 59150, 291800
Gauntlet3, 268275, 54150, 260775
Gauntlet4, 269000, 49325, 263850
Gauntlet5, 291325, 47400, 340050
Gauntlet6, 315075, 54075, 310575
Gauntlet7, 289575, 47725, 312550
Gauntlet8, 327500, 47850, 337425
Gauntlet9, 371575, 49550, 296500
Gazelle1, 286350, 43050, 237850
Gazelle2, 320775, 41375, 328800
Gazelle3, 336800, 41350, 247175
Gazelle4, 358375, 45450, 249950
Gazelle5, 266175, 42875, 293775
Gazelle6, 373650, 38325, 325425
Gazelle7, 258975, 41600, 242700
Gazelle8, 248125, 44300, 263725
Gazelle9, 339125, 40425, 319125
Ghost1, 358800, 56100, 343225
Ghost2, 294500, 54125, 228000
Ghost3, 377575, 50400, 280250
Ghost4, 308125, 48475, 252650
Ghost5, 253650, 49075, 314325
Ghost6, 253075, 56350, 306425
Ghost7, 341025, 57800, 267550
Ghost8, 254875, 57375, 319025
Ghost9, 374375, 60875, 282450
Glass1, 339825, 58475, 287175
Glass2, 273025, 58500, 332500
Glass3, 277950, 55175, 303550
Glass4, 358025, 57625, 266325
Glass5, 253350, 57975, 289375
Glass6, 391625, 56075, 295675
Glass7, 322950, 56900, 316150
Glass8, 235075, 56700, 304525
Glass9, 370525, 52750, 346550
Goblin1, 345175, 33100, 227525
Goblin2, 337800, 136350, 330700
Goblin3, 321225, 136800, 347325
Goblin4, 329950, 31775, 329625
Goblin5, 233950, 136825, 323725
Goblin6, 230725, 36950, 242850
Goblin7, 313900, 31100, 288350
Goblin8, 320575, 33950, 237275
Goblin9, 263150, 33275, 272250
Gunhog1, 391775, 34350, 298800
Gunhog2, 388950, 34650, 328000
Gunhog3, 371700, 32550, 233375
Gunhog4, 337775, 36350, 258825
Gunhog5, 366750, 31975, 270825
Gunhog6, 326000, 137400, 263950
Gunhog7, 239925, 32825, 227975
Gunhog8, 357500, 36125, 306100
Gunhog9, 250775, 30200, 343925
Gypsy1, 273600, 136875, 344350
Gypsy2, 365825, 35125, 337325
Gypsy3, 393225, 35650, 236175
Gypsy4, 351125, 32625, 250375
Gypsy5, 379225, 138075, 312975
Gypsy6, 318175, 30925, 268525
Gypsy7, 326025, 136400, 261175
Gypsy8, 258575, 36600, 285350
Gypsy9, 307700, 31375, 254375
Hammer1, 327200, 139450, 320100
Hammer2, 305875, 139325, 237725
Hammer3, 342525, 141775, 339675
Hammer4, 253125, 141450, 256750
Hammer5, 333350, 139300, 285250
Hammer6, 274725, 139575, 245100
Hammer7, 276675, 143800, 283750
Hammer8, 308700, 139400, 268425
Hammer9, 242825, 138375, 239525
Harrier1, 238075, 30825, 307300
Harrier2, 227000, 36900, 327475
Harrier3, 384050, 32375, 320150
Harrier4, 255825, 37450, 301425
Harrier5, 343850, 35350, 318700
Harrier6, 306675, 35250, 227125
Harrier7, 268350, 34675, 231350
Harrier8, 229925, 30850, 277275
Harrier9, 389050, 35575, 240225
Hawk1, 382700, 42025, 335800
Hawk2, 259825, 42300, 250750
Hawk3, 269525, 43325, 268775
Hawk4, 243225, 41150, 240575
Hawk5, 388375, 39050, 288125
Hawk6, 236650, 43075, 235975
Hawk7, 314150, 38650, 320750
Hawk8, 365350, 45575, 294925
Hawk9, 239075, 38525, 263575
Hawkeye1, 392350, 143900, 245800
Hawkeye2, 360375, 139925, 324150
Hawkeye3, 305900, 138050, 239400
Hawkeye4, 271925, 140175, 347875
Hawkeye5, 398125, 139425, 319500
Hawkeye6, 300400, 140925, 232000
Hawkeye7, 351000, 139125, 331675
Hawkeye8, 380775, 140775, 226450
Hawkeye9, 271750, 142300, 288400
Hobby1, 274150, 44650, 329150
Hobby2, 363150, 44675, 267775
Hobby3, 368950, 46050, 237925
Hobby4, 348150, 43425, 233200
